No,Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Di mana bisnis Anda berada?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Dalam mencari solusi apakah Anda lebih memilih untuk:,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Masalah komunikasi,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Kualitas pekerjaan,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Memenuhi tenggat waktu,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Biaya,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Mencari keterampilan yang tepat,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Desain logo,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Pengembangan website,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Strategi pemasaran,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Manajemen media sosial,Seberapa puas Anda dengan nilai yang diberikan oleh layanan freelancer (penyedia jasa) untuk uang yang Anda keluarkan?,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak sumber daya tutorial,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Dukungan pelanggan yang lebih baik,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak opsi freelancer,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Opsi harga yang fleksibel,Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Ulasan & Penilaian],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Kualitas Portofolio],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Harga],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Komunikasi],Bagaimana cara Anda dalam menyelesaikan masalah?,Seberapa mampu Anda membeli layanan freelancer (penyedia jasa) berdasarkan anggaran Anda saat ini?,Seberapa tertarik Anda menggunakan freelancer (penyedia jasa) untuk proyek Anda di masa depan?,Bagaimana Anda pertama kali mendengar tentang layanan freelancer (penyedia jasa)?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Seberapa besar kemungkinan Anda merekomendasikan layanan freelancer (penyedia jasa) kepada teman dan keluarga Anda?,Apakah ada saran dan masukan untuk Sribu (Sribu.com)?,Platform freelancer,Platform freelancer1
311,25-30 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Mingguan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,7,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,3,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Upwork,10,Tidak ada,Other,0
312,36-40 tahun,Middle,DKI Jakarta,Laki-Laki,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,20-Nov,Ya,Mencari sendiri,,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,,Harian,Manajemen media sosial,NA,NA,Desain logo,,,,8,,Dukungan pelanggan yang lebih baik,,,4,4,5,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,8,Media sosial,Upwork,8,Tidak ada,Other,0
313,36-40 tahun,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,7,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,5,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,3,6,Pencarian online,Upwork,6,Tolong reward nya agar lebih menarik lagi,Other,0
314,25-30 tahun,Middle,Nusa Tenggara Timur,Perempuan,Bekerja penuh waktu,Ya,Other,Kurang dari Rp750 juta,Kupang,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,Masalah komunikasi,,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Harian,Other,NA,NA,,,,,7,Lebih banyak sumber daya tutorial,,,Opsi harga yang fleksibel,5,5,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Fastwork,8,Iklan yang muncul pada saat buka aplikasi sangat mengganggu. Apakah itu bisa dihilangkan,Other,0
315,25-30 tahun,Upper,Kalimantan Selatan,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Banjarmasin,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak yakin bagaimana mengelola freelancer,Informasi lebih lanjut tentang manfaat menggunakan freelancer,,,Strategi pemasaran,Manajemen media sosial,7,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,,5,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,7,Media sosial,Tidak ada,8,Tidak ada,Tidak ada,0
316,25-30 tahun,Lower,Jawa Timur,Perempuan,Bekerja penuh waktu,Tidak,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Diberi rekomendasi,,,,,Mencari keterampilan yang tepat,Triwulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,9,,Dukungan pelanggan yang lebih baik,,,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Media sosial,Sribu,10,semoga selalu memberikan pelayanan yang baik dan profesional,Sribu,1
317,41-45 tahun,Upper,Jawa Tengah,Perempuan,Pemilik usaha/Wiraswasta,Ya,Fashion,Rp750 juta - Rp1.5 miliar,Semarang,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Bulanan,Penulisan konten,NA,NA,,,Strategi pemasaran,,6,,Dukungan pelanggan yang lebih baik,,,5,5,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,9,Teman atau kolega,Fastwork,8,harus lebih di tingkatkan lagi,Other,0
318,31-35 tahun,Upper,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Surabaya,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,,,Biaya,Mencari keterampilan yang tepat,Tidak menentu,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,7,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,4,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Fastwork,7,Untuk layanan CS lebih di kembangkan biar cepat responnya dan tidak melulu mengandalkan chat bot,Other,0
319,31-35 tahun,Upper,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,Desain logo,,Strategi pemasaran,Manajemen media sosial,6,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,4,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,5,8,Media sosial,Sribu,8,Mungkin lebih banyak pilihan freelancernya dan solusi untuk para pengguna jasanya,Sribu,1
320,36-40 tahun,Middle,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,Non-profit,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Ya,10-Jun,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Jaminan kualitas pekerjaan,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,,,,5,5,5,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,7,10,Media sosial,Upwork,7,Berharap banyak ide dalam memgembangkan bisnis,Other,0
321,25-30 tahun,Upper,DKI Jakarta,Laki-Laki,Mahasiswa/pelajar,Ya,Manufaktur,Lebih dari Rp15 miliar,Jabodetabek,Lebih dari Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Bulanan,Pengembangan website,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,9,Pencarian online,Sribu,9,Semoga semakin menyediakan freelance berkualitas,Sribu,1
322,36-40 tahun,Upper,DKI Jakarta,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Surabaya,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,,Memenuhi tenggat waktu,Biaya,,Bulanan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,4,3,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Project.co.id,8,Lebih banyak option freelancer,Other,0
323,36-40 tahun,Upper,Jawa Barat,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,,,Strategi pemasaran,Manajemen media sosial,7,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,5,9,Media sosial,Upwork,6,Tidak ada,Other,0
324,36-40 tahun,Upper,Sumatera Utara,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Medan,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,,,Triwulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,7,,,Lebih banyak opsi freelancer,,4,5,3,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Teman atau kolega,Upwork,9,Banyak opsi pilihan nya,Other,0
325,36-40 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,,Bulanan,Penulisan konten,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Teman atau kolega,Upwork,8,Lebih banyak konten,Other,0
326,31-35 tahun,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Sumedang,Rp15.000.000 - Rp75.000.000,Tidak,Ya,10-Jun,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Harga yang lebih terjangkau,,,,Manajemen media sosial,3,,,,Opsi harga yang fleksibel,3,3,3,3,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,4,1,Media sosial,Fiverr,5,Tidak ada,Other,0
327,25-30 tahun,Lower,Jawa Tengah,Perempuan,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,Masalah komunikasi,,,,,Mingguan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,8,,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,7,Media sosial,Upwork,10,Lebih inovatif,Other,0
328,31-35 tahun,Middle,Jawa Timur,Perempuan,Bekerja paruh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Surabaya,Rp7.500.000 - Rp15.000.000,Ya,Ya,20-Nov,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,,,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,5,,Dukungan pelanggan yang lebih baik,,,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,6,Media sosial,Project.co.id,6,Saya suka surveynya menyenangkan,Other,0
329,25-30 tahun,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Bandung,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,Desain logo,,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,5,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,5,8,Media sosial,Project.co.id,7,Tidak ada,Other,0
330,31-35 tahun,Upper,Jawa Barat,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,,Mingguan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,9,Media sosial,Project.co.id,9,TDK ad,Other,0
331,25-30 tahun,Upper,Jawa Tengah,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Ya,10-Jun,Ya,Mencari sendiri,,,,,Mencari keterampilan yang tepat,Mingguan,Pengembangan website,NA,NA,,Pengembangan website,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Project.co.id,8,Semua oke,Other,0
332,36-40 tahun,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Tidak,Kurang dari 5,Ya,Diberi rekomendasi,,,,Biaya,Mencari keterampilan yang tepat,Harian,Desain logo,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,8,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,7,Teman atau kolega,Project.co.id,8,Perbanyak lagi jasa freelance yang ditawarkan,Other,0
333,25-30 tahun,Upper,Sumatera Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Other,Rp7.5 miliar - Rp15 miliar,Bukittinggi,Kurang dari Rp7.500.000,Ya,Tidak,10-Jun,Tidak,Diberi rekomendasi,,,,,,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,Desain logo,,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,4,4,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,10,Pencarian online,Project.co.id,10,Mempertahankan reputasi positif bagi customer yang telah mempercayai sribu,Other,0
334,25-30 tahun,Middle,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Kurang dari Rp750 juta,Surabaya,Rp7.500.000 - Rp15.000.000,Ya,Ya,20-Nov,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Mingguan,Layanan SEO,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,,,Lebih banyak opsi freelancer,,1,3,2,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,9,Media sosial,Project.co.id,10,Portofolio lebih di buat semenarik mungkin,Other,0
335,25-30 tahun,Middle,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Surabaya,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,5,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Pencarian online,Other,10,Lebih diperbaiki lagi tampilan website nya,Other,0
336,31-35 tahun,Middle,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Tidak,Berbasis layanan,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Ya,20-Nov,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,,Bulanan,Desain logo,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Fastwork,10,lebih banyak lowongan,Other,0
337,25-30 tahun,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp15.000.000 - Rp75.000.000,Ya,Ya,51-100,Ya,Mencari sendiri,,Kualitas pekerjaan,,Biaya,,Mingguan,Pengembangan website,NA,NA,,Pengembangan website,,,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,,5,5,4,3,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Pencarian online,Upwork,10,suka,Other,0
338,25-30 tahun,Middle,DKI Jakarta,Perempuan,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Informasi lebih lanjut tentang manfaat menggunakan freelancer,,,Strategi pemasaran,,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,5,5,Teman atau kolega,Tidak ada,5,Price list harus di cantumkan,Tidak ada,0
339,25-30 tahun,Upper,Banten,Laki-Laki,Mahasiswa/pelajar,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Lebih dari Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Mencari sendiri,Masalah komunikasi,,Memenuhi tenggat waktu,Biaya,,Bulanan,Manajemen media sosial,NA,NA,,Pengembangan website,Strategi pemasaran,,10,,,Lebih banyak opsi freelancer,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Sribu,10,Lebih tambah wawasan,Sribu,1
340,25-30 tahun,Upper,Kalimantan Selatan,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Kalimantan,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,,,,Mencari keterampilan yang tepat,Tidak menentu,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,7,Lebih banyak sumber daya tutorial,,,Opsi harga yang fleksibel,4,5,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Pencarian online,Fastwork,7,Lebih banyak pilihannya,Other,0
341,36-40 tahun,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Rp7.5 miliar - Rp15 miliar,Jabodetabek,Rp15.000.000 - Rp75.000.000,Ya,Ya,51-100,Ya,Diberi rekomendasi,Masalah komunikasi,,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Bulanan,Layanan SEO,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,9,Teman atau kolega,Sribu,10,Produk dan layanan sribu sangat menarik dan memberikan keuntungan lebih baik,Sribu,1
342,25-30 tahun,Middle,Maluku,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Rp7.5 miliar - Rp15 miliar,Surabaya,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Mencari sendiri,,Kualitas pekerjaan,Memenuhi tenggat waktu,,,Mingguan,Pengembangan website,NA,NA,,Pengembangan website,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,3,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,6,Media sosial,Fastwork,8,Bagud,Other,0
343,31-35 tahun,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,20-Nov,Ya,Diberi rekomendasi,Masalah komunikasi,,,,,Bulanan,Pengembangan website,NA,NA,,,Strategi pemasaran,,9,,,Lebih banyak opsi freelancer,,4,5,4,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,8,Media sosial,Sribu,9,Filter customer,Sribu,1
344,25-30 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,,Bulanan,Desain logo,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,7,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,,4,1,3,1,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Pencarian online,Upwork,5,Baguaa,Other,0
345,25-30 tahun,Middle,Bali,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Bali,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,,,Harian,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Media sosial,Fastwork,7,Lebih banyak pekerjaan,Other,0
346,41-45 tahun,Upper,Bali,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Kuliner,Kurang dari Rp750 juta,Bali,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Ya,Mencari sendiri,,,,,Mencari keterampilan yang tepat,Tidak menentu,Penulisan konten,NA,NA,Desain logo,,Strategi pemasaran,,8,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Teman atau kolega,Upwork,7,"Tampilan webnya kurang menarik, mungkin bisa diperbaiki lagi secara visualnya biar org lebih tertarik untuk surfing lebih lanjut di web tsb",Other,0
347,31-35 tahun,Upper,Jawa Timur,Laki-Laki,Mahasiswa/pelajar,Ya,Manufaktur,Rp1.5 miliar - Rp7.5 miliar,Surabaya,Rp15.000.000 - Rp75.000.000,Ya,Ya,Lebih dari 100,Tidak,Mencari sendiri,,,,,,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,,,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,,,4,5,3,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,9,Media sosial,Project.co.id,8,bagus,Other,0
348,31-35 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Ya,21-50,Ya,Mencari sendiri,,Kualitas pekerjaan,,,,Bulanan,Pengembangan website,NA,NA,,Pengembangan website,,,8,Lebih banyak sumber daya tutorial,,,,4,5,4,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,9,Teman atau kolega,Project.co.id,8,Tidak ada,Other,0
349,41-45 tahun,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Tidak menentu,Penulisan konten,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Media sosial,Fastwork,8,Pertahankan layanannya,Other,0
